rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0011.mp4,27,900,51.899700423187014,1.1266952980898912,1.0,DRILL-20260629-0011/annotated_frames/rank_01_frame_000027.jpg
2,DRILL-20260629-0011.mp4,43,1433,61.300088323622944,1.3172953122293702,1.0,DRILL-20260629-0011/annotated_frames/rank_02_frame_000043.jpg
3,DRILL-20260629-0011.mp4,78,2600,62.212303439971386,1.359085498812006,1.0,DRILL-20260629-0011/annotated_frames/rank_03_frame_000078.jpg
4,DRILL-20260629-0011.mp4,61,2033,69.11153734837848,1.5023480740766337,1.0,DRILL-20260629-0011/annotated_frames/rank_04_frame_000061.jpg
