rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,27,900,0.706037777136282,0.5416904869662412,0.16434729017004085,7.5905930017350975,36.4462934448291,9.317817501796542,4.854519644580074,35.01809738754008,0.0,10.0,5.0,0.5608482891524101,8.96464870475721,7.718264802072213,2.0,DRILL-20260629-0011/posture_annotated_frames/posture_rank_01_frame_000027.jpg
2,43,1433,0.7152513857185313,0.5786369823653965,0.13661440335313488,8.27841261524963,35.528102914351734,8.976228762779662,4.636003706284421,28.958190294657143,0.0,10.0,5.0,0.31388972737473503,10.0,8.063660344507323,2.0,DRILL-20260629-0011/posture_annotated_frames/posture_rank_02_frame_000043.jpg
3,78,2600,0.7186892711009403,0.6352931618893843,0.08339610921155592,9.598310783443553,27.70883719423577,6.067275741903188,4.480176870858691,42.544352887375986,0.0,7.833202050827387,3.9166010254136934,0.4542823301452868,10.0,7.3955468876901085,2.0,DRILL-20260629-0011/posture_annotated_frames/posture_rank_03_frame_000078.jpg
4,61,2033,0.7591625255693977,0.6262818364329743,0.1328806891364234,8.371014654354578,38.01272025431056,9.90056557080006,4.075846232673913,25.331556811076055,0.0,10.0,5.0,0.24465815547233868,10.0,8.317895056288659,2.0,DRILL-20260629-0011/posture_annotated_frames/posture_rank_04_frame_000061.jpg
