rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0015.mp4,182,6066,61.16387946284959,1.1438626169770119,1.0,DRILL-20260629-0015/annotated_frames/rank_01_frame_000182.jpg
2,DRILL-20260629-0015.mp4,104,3466,62.51516317858957,1.1666439747989126,1.0,DRILL-20260629-0015/annotated_frames/rank_02_frame_000104.jpg
3,DRILL-20260629-0015.mp4,138,4600,63.837630547638916,1.1811622930486252,1.0,DRILL-20260629-0015/annotated_frames/rank_03_frame_000138.jpg
4,DRILL-20260629-0015.mp4,67,2233,63.57263829165703,1.1882718807278703,1.0,DRILL-20260629-0015/annotated_frames/rank_04_frame_000067.jpg
5,DRILL-20260629-0015.mp4,24,800,65.29287271272776,1.1998529126461701,1.0,DRILL-20260629-0015/annotated_frames/rank_05_frame_000024.jpg
6,DRILL-20260629-0015.mp4,31,1033,65.24438367150657,1.209757857740724,1.0,DRILL-20260629-0015/annotated_frames/rank_06_frame_000031.jpg
7,DRILL-20260629-0015.mp4,145,4833,64.70571190466492,1.2106078946107452,1.0,DRILL-20260629-0015/annotated_frames/rank_07_frame_000145.jpg
8,DRILL-20260629-0015.mp4,98,3266,64.65489044148542,1.2210678951080802,1.0,DRILL-20260629-0015/annotated_frames/rank_08_frame_000098.jpg
9,DRILL-20260629-0015.mp4,176,5866,68.75980621451298,1.2893393111341556,1.0,DRILL-20260629-0015/annotated_frames/rank_09_frame_000176.jpg
10,DRILL-20260629-0015.mp4,61,2033,76.50661448208507,1.4313953480207617,1.0,DRILL-20260629-0015/annotated_frames/rank_10_frame_000061.jpg
