rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,182,6066,0.7580329774864305,0.6147748142014735,0.143258163284957,8.113636823289758,39.503242818489156,10.0,1.622300064562769,14.303933893286109,0.0,6.66068969244275,3.330344846221375,0.8848384753390267,5.255969833573413,6.674987875771137,2.0,DRILL-20260629-0015/posture_annotated_frames/posture_rank_01_frame_000182.jpg
2,104,3466,0.725661787945657,0.642243847952653,0.08341793999300413,9.597769345411605,39.03347057280095,10.0,1.9677987724235244,28.34009084804098,0.0,10.0,5.0,0.6954099199824958,7.424336996537365,8.005526585487242,2.0,DRILL-20260629-0015/posture_annotated_frames/posture_rank_02_frame_000104.jpg
3,138,4600,0.7376943261450792,0.6478856247034014,0.08980870144167785,9.439268317418705,32.516093595343904,7.855689581601155,1.8124931569570353,14.88053274302127,0.0,6.87519819308827,3.437599096544135,0.7450201954756512,6.856453806368461,6.897252700483114,2.0,DRILL-20260629-0015/posture_annotated_frames/posture_rank_03_frame_000138.jpg
4,67,2233,0.7763455434500597,0.6680097679225196,0.10833577552754012,8.979767472035217,37.89136560316832,9.85541875117869,2.2338682485993067,22.465193071716854,0.0,9.69687242251371,4.848436211256855,0.47814820033127625,9.911307230640153,8.39873241627773,2.0,DRILL-20260629-0015/posture_annotated_frames/posture_rank_04_frame_000067.jpg
5,24,800,0.8170250324148148,0.7057940493224636,0.11123098309235119,8.907961728860338,36.928242457842025,9.497114009613849,2.4757469221232746,18.565751861645108,0.0,8.246187448528685,4.123093724264343,0.646990837077982,7.978584740407715,7.626688550786562,2.0,DRILL-20260629-0015/posture_annotated_frames/posture_rank_05_frame_000024.jpg
