rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260628-0007.mp4,103,3433,18.384555879314412,0.9218557068823695,1.0,DRILL-20260628-0007/annotated_frames/rank_01_frame_000103.jpg
2,DRILL-20260628-0007.mp4,133,4433,21.19587078584354,1.0719364152656259,1.0,DRILL-20260628-0007/annotated_frames/rank_02_frame_000133.jpg
3,DRILL-20260628-0007.mp4,73,2433,21.57992591142916,1.09690741185134,1.0,DRILL-20260628-0007/annotated_frames/rank_03_frame_000073.jpg
4,DRILL-20260628-0007.mp4,195,6500,23.250966772322407,1.184945005032167,1.0,DRILL-20260628-0007/annotated_frames/rank_04_frame_000195.jpg
5,DRILL-20260628-0007.mp4,228,7600,22.952696813688245,1.2183861685352237,1.0,DRILL-20260628-0007/annotated_frames/rank_05_frame_000228.jpg
6,DRILL-20260628-0007.mp4,165,5500,24.611687638355416,1.265027002729478,1.0,DRILL-20260628-0007/annotated_frames/rank_06_frame_000165.jpg
7,DRILL-20260628-0007.mp4,39,1300,27.906720510070144,1.4602515696521874,1.0,DRILL-20260628-0007/annotated_frames/rank_07_frame_000039.jpg
8,DRILL-20260628-0007.mp4,171,5700,34.290836143709335,1.924994437483129,1.0,DRILL-20260628-0007/annotated_frames/rank_08_frame_000171.jpg
9,DRILL-20260628-0007.mp4,7,233,328.86355776761474,15.876354375629655,1.0,DRILL-20260628-0007/annotated_frames/rank_09_frame_000007.jpg
10,DRILL-20260628-0007.mp4,145,4833,328.4996152926609,17.0554140710011,1.0,DRILL-20260628-0007/annotated_frames/rank_10_frame_000145.jpg
