rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,103,3433,0.5400049703107919,0.5144093748191773,0.025595595491614578,10.0,53.725363759415856,5.228863533820121,0.36326327818951676,47.544818653226386,8.614030075436803,0.0,4.3070150377184016,0.1757309001422681,10.0,7.38396964288463,5.0,DRILL-20260628-0007/posture_annotated_frames/posture_rank_01_frame_000103.jpg
2,133,4433,0.5739777658027196,0.5816792353976267,0.0077014695949070636,10.0,55.18429785071348,4.0130851244054355,0.39865497369554675,32.86592321618703,7.139376096018886,10.0,8.569688048009443,0.18153665634844104,10.0,8.145693293103719,5.0,DRILL-20260628-0007/posture_annotated_frames/posture_rank_02_frame_000133.jpg
3,73,2433,0.5957136151608068,0.6091096497940526,0.01339603463324581,10.0,55.848080344998046,3.459933045834962,0.3863671990807449,28.427376591392417,7.651366704968963,10.0,8.825683352484482,0.18152776335421753,10.0,8.071404099579862,5.0,DRILL-20260628-0007/posture_annotated_frames/posture_rank_03_frame_000073.jpg
4,195,6500,0.5916284628145101,0.6040068124017934,0.012378349587283361,10.0,55.34482247837276,3.8793146013560307,0.32937332640892497,37.43509267158688,10.0,6.304089440344267,8.152044720172134,0.28674996810694797,8.032052099821847,7.515852855337503,5.0,DRILL-20260628-0007/posture_annotated_frames/posture_rank_04_frame_000195.jpg
5,228,7600,0.6384223822271354,0.5957962633463165,0.04262611888081889,9.298548951065618,56.465625581426906,2.945312015477578,0.39282882970278266,22.42540105202187,7.382132095717388,6.187834210018224,6.784983152867806,0.20240856662150705,10.0,7.25721102985275,5.0,DRILL-20260628-0007/posture_annotated_frames/posture_rank_05_frame_000228.jpg
