rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0014.mp4,18,600,135.694424945096,1.2529183539293802,1.0,DRILL-20260629-0014/annotated_frames/rank_01_frame_000018.jpg
2,DRILL-20260629-0014.mp4,108,3600,131.86836080237597,1.2531122866767404,1.0,DRILL-20260629-0014/annotated_frames/rank_02_frame_000108.jpg
3,DRILL-20260629-0014.mp4,131,4366,136.18065396478903,1.2786865729874624,1.0,DRILL-20260629-0014/annotated_frames/rank_03_frame_000131.jpg
4,DRILL-20260629-0014.mp4,90,3000,136.74329770884324,1.313720023333306,1.0,DRILL-20260629-0014/annotated_frames/rank_04_frame_000090.jpg
5,DRILL-20260629-0014.mp4,51,1700,147.04517634108004,1.4573148644880103,1.0,DRILL-20260629-0014/annotated_frames/rank_05_frame_000051.jpg
6,DRILL-20260629-0014.mp4,124,4133,153.68191952695184,1.4777625920676347,1.0,DRILL-20260629-0014/annotated_frames/rank_06_frame_000124.jpg
7,DRILL-20260629-0014.mp4,70,2333,155.34144813787466,1.5179478722539388,1.0,DRILL-20260629-0014/annotated_frames/rank_07_frame_000070.jpg
8,DRILL-20260629-0014.mp4,30,1000,174.37615816570226,1.7350838960905102,1.0,DRILL-20260629-0014/annotated_frames/rank_08_frame_000030.jpg
