rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,18,600,0.6798089360894287,0.5554785063398064,0.12433042974962223,8.583074658987544,10.313216049940184,0.0,2.139037239615176,34.26116090315471,0.0,10.0,5.0,0.6857874079899787,7.534484798649511,5.279389864409263,2.0,DRILL-20260629-0014/posture_annotated_frames/posture_rank_01_frame_000018.jpg
2,108,3600,0.5411621961323863,0.4466973636675745,0.0944648324648118,9.323788877360819,2.2052879042117017,0.0,2.1921069594164955,45.01895119244636,0.0,6.912592562333945,3.4562962811669724,0.6263659377027045,8.214675621534976,5.248690195015692,2.0,DRILL-20260629-0014/posture_annotated_frames/posture_rank_02_frame_000108.jpg
3,131,4366,0.46810767453269686,0.4116612925901441,0.05644638194255272,10.0,7.749180021755521,0.0,2.191910043168118,49.450569176892984,0.0,5.263925157405884,2.631962578702942,0.5664070803411523,8.901017853237725,5.383245107985167,2.0,DRILL-20260629-0014/posture_annotated_frames/posture_rank_03_frame_000131.jpg
4,90,3000,0.5293140497629679,0.45463815648304834,0.07467589327991953,9.814585980160725,1.9378037334670568,0.0,2.1820692108028603,47.3772266706938,0.0,6.0352579350097475,3.0176289675048737,0.5737275128312349,8.81722169378165,5.412359160361812,2.0,DRILL-20260629-0014/posture_annotated_frames/posture_rank_04_frame_000090.jpg
5,51,1700,0.49833192975393537,0.4282639881593459,0.07006794159458948,9.928870496165935,0.7378280527097998,0.0,2.1162092735281295,46.365390119264966,0.0,6.411685223487736,3.205842611743868,0.6817140042966328,7.58111258817957,5.178956424022344,2.0,DRILL-20260629-0014/posture_annotated_frames/posture_rank_05_frame_000051.jpg
