rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,59,1966,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0003/posture_annotated_frames/posture_rank_01_frame_000059.jpg
2,81,2700,nan,nan,nan,0.0,164.29024087936028,0.0,0.27892667269616434,12.714969214162403,10.0,0.0,5.0,0.32214982493306493,7.1243634632547455,3.0310908658136864,5.0,DRILL-20260628-0003/posture_annotated_frames/posture_rank_02_frame_000081.jpg
3,34,1133,nan,nan,nan,0.0,168.27049820692497,0.0,0.7342606840893472,18.494131161153692,0.0,2.9117759676280777,1.4558879838140388,0.1294144531241253,10.0,2.8639719959535097,5.0,DRILL-20260628-0003/posture_annotated_frames/posture_rank_03_frame_000034.jpg
4,87,2900,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0003/posture_annotated_frames/posture_rank_04_frame_000087.jpg
5,40,1333,nan,nan,nan,0.0,44.52398943695243,10.0,5.9218477680764146,88.6765989158306,0.0,0.0,0.0,1.1573750556850773,0.0,2.5,5.0,DRILL-20260628-0003/posture_annotated_frames/posture_rank_05_frame_000040.jpg
