rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260628-0010.mp4,26,866,19.191216832304093,0.9606445844883194,1.0,DRILL-20260628-0010/annotated_frames/rank_01_frame_000026.jpg
2,DRILL-20260628-0010.mp4,19,633,19.217988166036317,1.012273780189756,1.0,DRILL-20260628-0010/annotated_frames/rank_02_frame_000019.jpg
3,DRILL-20260628-0010.mp4,34,1133,19.63235119636833,1.0137127982333476,1.0,DRILL-20260628-0010/annotated_frames/rank_03_frame_000034.jpg
4,DRILL-20260628-0010.mp4,144,4800,21.77963099873397,1.0278505944899397,1.0,DRILL-20260628-0010/annotated_frames/rank_04_frame_000144.jpg
5,DRILL-20260628-0010.mp4,150,5000,21.493277686678343,1.0363751026082,1.0,DRILL-20260628-0010/annotated_frames/rank_05_frame_000150.jpg
6,DRILL-20260628-0010.mp4,246,8200,20.95102037220324,1.0447358305122452,1.0,DRILL-20260628-0010/annotated_frames/rank_06_frame_000246.jpg
7,DRILL-20260628-0010.mp4,255,8500,22.348442877307246,1.0466568647060017,1.0,DRILL-20260628-0010/annotated_frames/rank_07_frame_000255.jpg
8,DRILL-20260628-0010.mp4,76,2533,22.339262212187425,1.0920161280679637,1.0,DRILL-20260628-0010/annotated_frames/rank_08_frame_000076.jpg
9,DRILL-20260628-0010.mp4,86,2866,22.56854306600822,1.1308528221975243,1.0,DRILL-20260628-0010/annotated_frames/rank_09_frame_000086.jpg
10,DRILL-20260628-0010.mp4,203,6766,22.598778282441973,1.1654357185598219,1.0,DRILL-20260628-0010/annotated_frames/rank_10_frame_000203.jpg
