rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,26,866,0.5139105339841834,0.5229108723531805,0.00900033836899707,10.0,42.21453319815431,10.0,0.10834701767358246,10.137255171404181,10.0,0.0,5.0,0.2583765376247663,8.759575958339326,8.439893989584832,5.0,DRILL-20260628-0010/posture_annotated_frames/posture_rank_01_frame_000026.jpg
2,19,633,0.4977824644088745,0.5315988847851877,0.03381642037631309,9.787976645760384,42.08051391752096,10.0,0.13800509479227813,14.64208617763876,10.0,0.0,5.0,0.2608720059316062,8.695589591497278,8.370891559314416,5.0,DRILL-20260628-0010/posture_annotated_frames/posture_rank_02_frame_000019.jpg
3,34,1133,0.5955129476266692,0.5774027859560112,0.018110161670657935,10.0,41.424334369297604,9.520278641081337,0.26843077874365673,21.567882888045368,10.0,5.473235740037808,7.736617870018904,0.26114174360831444,8.68867324081245,8.986392437978173,5.0,DRILL-20260628-0010/posture_annotated_frames/posture_rank_03_frame_000034.jpg
4,144,4800,0.5730806057863016,0.5459843012341627,0.02709630455213889,10.0,41.52856538767551,9.607137823062928,0.7298475176960817,33.324411452361595,0.0,9.729657123032004,4.864828561516002,0.25967157616579073,8.726369841902802,8.299584056620432,5.0,DRILL-20260628-0010/posture_annotated_frames/posture_rank_04_frame_000144.jpg
5,150,5000,0.5806279878763752,0.5678276460188012,0.012800341857573944,10.0,40.99903500421993,9.165862503516605,0.3613336092518565,12.531823433662773,8.694432947839314,0.0,4.347216473919657,0.26732933856171814,8.530016959955946,8.010773984348052,5.0,DRILL-20260628-0010/posture_annotated_frames/posture_rank_05_frame_000150.jpg
