rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,172,5733,nan,nan,nan,0.0,37.21651682052362,6.013764017103018,3.155023382070333,78.88355161175525,0.0,0.0,0.0,0.361645121262167,6.111663557380332,3.0313568936208375,5.0,DRILL-20260628-0005/posture_annotated_frames/posture_rank_01_frame_000172.jpg
2,142,4733,0.38821500680265736,0.37492792556246,0.01328708124019736,10.0,55.62372992730917,3.646891727242357,2.96452663626035,48.57839960393772,0.0,0.0,0.0,0.41766038940058403,4.675374630754256,4.580566589499153,5.0,DRILL-20260628-0005/posture_annotated_frames/posture_rank_02_frame_000142.jpg
3,117,3900,0.7349392104542103,0.7034327011869068,0.03150650926730347,9.916305040705362,52.71926685049838,6.067277624584683,3.1365121118022667,72.8479963153417,0.0,0.0,0.0,0.4572742856293149,3.659633701812439,4.9108040917756215,5.0,DRILL-20260628-0005/posture_annotated_frames/posture_rank_03_frame_000117.jpg
4,90,3000,0.8266673356172354,0.7482933337371354,0.07837400188009996,7.312555451105558,49.955081271289735,8.370765607258553,3.385562980263209,72.5360655675959,0.0,0.0,0.0,0.45274522431084757,3.7757634792090364,4.864771134393287,5.0,DRILL-20260628-0005/posture_annotated_frames/posture_rank_04_frame_000090.jpg
5,54,1800,0.5478874687344464,0.5519963566383865,0.004108887903940086,10.0,60.05755586282696,0.0,2.7936567890648054,25.384064955545348,0.0,8.653387462954457,4.326693731477229,0.33777005985905795,6.7238446189985135,5.262634587618935,5.0,DRILL-20260628-0005/posture_annotated_frames/posture_rank_05_frame_000054.jpg
