rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260628-0005.mp4,172,5733,32.4614724886735,0.9373493311337845,1.0,DRILL-20260628-0005/annotated_frames/rank_01_frame_000172.jpg
2,DRILL-20260628-0005.mp4,142,4733,35.83712151045753,1.0646514500827597,1.0,DRILL-20260628-0005/annotated_frames/rank_02_frame_000142.jpg
3,DRILL-20260628-0005.mp4,117,3900,36.13611365509427,1.10189954865288,1.0,DRILL-20260628-0005/annotated_frames/rank_03_frame_000117.jpg
4,DRILL-20260628-0005.mp4,90,3000,37.21310641950838,1.1273165827427336,1.0,DRILL-20260628-0005/annotated_frames/rank_04_frame_000090.jpg
5,DRILL-20260628-0005.mp4,54,1800,41.89169774542216,1.247838839750682,1.0,DRILL-20260628-0005/annotated_frames/rank_05_frame_000054.jpg
6,DRILL-20260628-0005.mp4,25,833,42.99015497090966,1.3103610804499608,1.0,DRILL-20260628-0005/annotated_frames/rank_06_frame_000025.jpg
7,DRILL-20260628-0005.mp4,84,2800,51.28475388689435,1.5210778767498183,1.0,DRILL-20260628-0005/annotated_frames/rank_07_frame_000084.jpg
8,DRILL-20260628-0005.mp4,165,5500,52.64642875855978,1.5893371500137388,1.0,DRILL-20260628-0005/annotated_frames/rank_08_frame_000165.jpg
9,DRILL-20260628-0005.mp4,32,1066,74.94462740130298,2.2462929342946216,1.0,DRILL-20260628-0005/annotated_frames/rank_09_frame_000032.jpg
10,DRILL-20260628-0005.mp4,64,2133,74.93358697395907,2.252337808578604,1.0,DRILL-20260628-0005/annotated_frames/rank_10_frame_000064.jpg
