rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0016.mp4,93,3100,101.40228274220492,1.0001023664291,1.0,DRILL-20260629-0016/annotated_frames/rank_01_frame_000093.jpg
2,DRILL-20260629-0016.mp4,132,4400,114.12599058374515,1.104898459632027,1.0,DRILL-20260629-0016/annotated_frames/rank_02_frame_000132.jpg
3,DRILL-20260629-0016.mp4,38,1266,113.3946907928044,1.1170191578225332,1.0,DRILL-20260629-0016/annotated_frames/rank_03_frame_000038.jpg
4,DRILL-20260629-0016.mp4,117,3900,116.37173729905129,1.1445080962841723,1.0,DRILL-20260629-0016/annotated_frames/rank_04_frame_000117.jpg
5,DRILL-20260629-0016.mp4,59,1966,119.24089541978621,1.1784508073418516,1.0,DRILL-20260629-0016/annotated_frames/rank_05_frame_000059.jpg
6,DRILL-20260629-0016.mp4,160,5333,124.69410978228574,1.207789115560567,1.0,DRILL-20260629-0016/annotated_frames/rank_06_frame_000160.jpg
7,DRILL-20260629-0016.mp4,153,5100,129.27064765674305,1.2604651180576263,1.0,DRILL-20260629-0016/annotated_frames/rank_07_frame_000153.jpg
8,DRILL-20260629-0016.mp4,111,3700,131.0325385792565,1.2978074990224975,1.0,DRILL-20260629-0016/annotated_frames/rank_08_frame_000111.jpg
9,DRILL-20260629-0016.mp4,53,1766,145.7576360430686,1.4631913207063167,1.0,DRILL-20260629-0016/annotated_frames/rank_09_frame_000053.jpg
10,DRILL-20260629-0016.mp4,166,5533,157.86397493471642,1.5488458348895258,1.0,DRILL-20260629-0016/annotated_frames/rank_10_frame_000166.jpg
