rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,93,3100,0.46767697850977996,0.35157925411345475,0.11609772439632521,8.787258819535586,5.690513905975012,0.0,1.9392799986617177,33.998443267647126,0.0,10.0,5.0,0.5269233411603437,9.352983732138924,5.785060637918628,2.0,DRILL-20260629-0016/posture_annotated_frames/posture_rank_01_frame_000093.jpg
2,132,4400,nan,nan,nan,0.0,32.767614482738644,7.949261340304555,1.9663502990773019,35.73428047666753,0.0,10.0,5.0,0.24981386937148764,10.0,5.737315335076139,2.0,DRILL-20260629-0016/posture_annotated_frames/posture_rank_02_frame_000132.jpg
3,38,1266,0.5565794360318924,0.4109845101831364,0.14559492584875597,8.055681402560616,13.75045661799003,0.874425825145102,2.005444263997343,20.173722560489868,0.0,8.844390833515575,4.422195416757788,0.5091054757717697,9.556942813967838,5.727311364607836,2.0,DRILL-20260629-0016/posture_annotated_frames/posture_rank_03_frame_000038.jpg
4,117,3900,0.4732697237471401,0.36226317870091057,0.11100654504622953,8.913528148655022,6.235666981697337,0.0,1.9991281965977252,26.791444018297664,0.0,10.0,5.0,0.3247086522950263,10.0,5.9783820371637555,2.0,DRILL-20260629-0016/posture_annotated_frames/posture_rank_04_frame_000117.jpg
5,59,1966,0.653175080399993,0.41179149974143175,0.24138358065856125,5.679970717793621,2.6370548043833595,0.0,1.8512239236783097,33.451065610979576,0.0,10.0,5.0,0.33715703017319465,10.0,5.169992679448406,2.0,DRILL-20260629-0016/posture_annotated_frames/posture_rank_05_frame_000059.jpg
