rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,238,7933,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0009/posture_annotated_frames/posture_rank_01_frame_000238.jpg
2,70,2333,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0009/posture_annotated_frames/posture_rank_02_frame_000070.jpg
3,245,8166,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0009/posture_annotated_frames/posture_rank_03_frame_000245.jpg
4,132,4400,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0009/posture_annotated_frames/posture_rank_04_frame_000132.jpg
5,118,3933,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0009/posture_annotated_frames/posture_rank_05_frame_000118.jpg
