rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260628-0009.mp4,238,7933,15.813630906116508,0.842521883059198,1.0,DRILL-20260628-0009/annotated_frames/rank_01_frame_000238.jpg
2,DRILL-20260628-0009.mp4,70,2333,15.200074330937193,0.8653488230873778,1.0,DRILL-20260628-0009/annotated_frames/rank_02_frame_000070.jpg
3,DRILL-20260628-0009.mp4,245,8166,16.59837333498168,0.8983752641333895,1.0,DRILL-20260628-0009/annotated_frames/rank_03_frame_000245.jpg
4,DRILL-20260628-0009.mp4,132,4400,16.884154424842123,0.9470608456581148,1.0,DRILL-20260628-0009/annotated_frames/rank_04_frame_000132.jpg
5,DRILL-20260628-0009.mp4,118,3933,17.064202058589423,0.9553665994014436,1.0,DRILL-20260628-0009/annotated_frames/rank_05_frame_000118.jpg
6,DRILL-20260628-0009.mp4,251,8366,17.787654205062047,0.9589785581055952,1.0,DRILL-20260628-0009/annotated_frames/rank_06_frame_000251.jpg
7,DRILL-20260628-0009.mp4,301,10033,17.548113935889425,0.976777875311749,1.0,DRILL-20260628-0009/annotated_frames/rank_07_frame_000301.jpg
8,DRILL-20260628-0009.mp4,79,2633,17.089754050574015,1.01723041074795,1.0,DRILL-20260628-0009/annotated_frames/rank_08_frame_000079.jpg
9,DRILL-20260628-0009.mp4,165,5500,19.224222161111427,1.0333958822167553,1.0,DRILL-20260628-0009/annotated_frames/rank_09_frame_000165.jpg
10,DRILL-20260628-0009.mp4,288,9600,17.649377857859854,1.034126884232982,1.0,DRILL-20260628-0009/annotated_frames/rank_10_frame_000288.jpg
