rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0006.mp4,137,9133,96.58309278103076,0.9287713776768306,1.0,DRILL-20260629-0006/annotated_frames/rank_01_frame_000137.jpg
2,DRILL-20260629-0006.mp4,57,3800,114.605073311591,1.1166936026474539,1.0,DRILL-20260629-0006/annotated_frames/rank_02_frame_000057.jpg
3,DRILL-20260629-0006.mp4,106,7066,118.57546578333448,1.122813545768429,1.0,DRILL-20260629-0006/annotated_frames/rank_03_frame_000106.jpg
4,DRILL-20260629-0006.mp4,153,10200,154.18436251077645,1.3770649434420676,1.0,DRILL-20260629-0006/annotated_frames/rank_04_frame_000153.jpg
5,DRILL-20260629-0006.mp4,16,1066,198.31546039227564,1.709162682360518,1.0,DRILL-20260629-0006/annotated_frames/rank_05_frame_000016.jpg
6,DRILL-20260629-0006.mp4,99,6600,243.39727880540238,2.277935430767084,1.0,DRILL-20260629-0006/annotated_frames/rank_06_frame_000099.jpg
