rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260629-0010.mp4,67,2233,98.80275901687587,0.9457067234949159,1.0,DRILL-20260629-0010/annotated_frames/rank_01_frame_000067.jpg
2,DRILL-20260629-0010.mp4,28,933,107.37508532819204,1.0303567044027122,1.0,DRILL-20260629-0010/annotated_frames/rank_02_frame_000028.jpg
3,DRILL-20260629-0010.mp4,92,3066,107.9169166986925,1.0343533486154437,1.0,DRILL-20260629-0010/annotated_frames/rank_03_frame_000092.jpg
4,DRILL-20260629-0010.mp4,46,1533,118.2480552376194,1.150887606145827,1.0,DRILL-20260629-0010/annotated_frames/rank_04_frame_000046.jpg
5,DRILL-20260629-0010.mp4,86,2866,128.2738888063239,1.2494414255680502,1.0,DRILL-20260629-0010/annotated_frames/rank_05_frame_000086.jpg
6,DRILL-20260629-0010.mp4,22,733,137.45295423851363,1.358469056067124,1.0,DRILL-20260629-0010/annotated_frames/rank_06_frame_000022.jpg
