rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,67,2233,nan,nan,nan,0.0,168.70543291108683,0.0,2.0253109437970047,20.923770322292444,0.0,4.936475268577038,2.468237634288519,1.164390139411597,0.0,0.6170594085721297,5.0,DRILL-20260629-0010/posture_annotated_frames/posture_rank_01_frame_000067.jpg
2,28,933,nan,nan,nan,0.0,168.21711119482413,0.0,2.610036799493886,48.427747414052334,0.0,0.0,0.0,1.183060721066091,0.0,0.0,5.0,DRILL-20260629-0010/posture_annotated_frames/posture_rank_02_frame_000028.jpg
3,92,3066,nan,nan,nan,0.0,166.0898861105077,0.0,2.7509467098934226,59.09892133934467,0.0,0.0,0.0,1.2996607506315738,0.0,0.0,5.0,DRILL-20260629-0010/posture_annotated_frames/posture_rank_03_frame_000092.jpg
4,46,1533,nan,nan,nan,0.0,167.51674249105727,0.0,3.2361577519272355,100.36780414321834,0.0,0.0,0.0,1.0012030220383787,0.0,0.0,5.0,DRILL-20260629-0010/posture_annotated_frames/posture_rank_04_frame_000046.jpg
5,86,2866,nan,nan,nan,0.0,164.40360102738944,0.0,3.091258502516715,83.60925859785502,0.0,0.0,0.0,1.206960955120459,0.0,0.0,5.0,DRILL-20260629-0010/posture_annotated_frames/posture_rank_05_frame_000086.jpg
