rank,video_name,frame_index,timestamp_ms,distance_raw,distance_normalized,detection_confidence,output_image_path
1,DRILL-20260628-0004.mp4,64,2133,19.38149072793132,0.4281979181780058,1.0,DRILL-20260628-0004/annotated_frames/rank_01_frame_000064.jpg
2,DRILL-20260628-0004.mp4,92,3066,40.519215937145354,0.7518708546661899,1.0,DRILL-20260628-0004/annotated_frames/rank_02_frame_000092.jpg
3,DRILL-20260628-0004.mp4,113,3766,59.15926839259801,1.138568914663315,1.0,DRILL-20260628-0004/annotated_frames/rank_03_frame_000113.jpg
4,DRILL-20260628-0004.mp4,57,1900,67.42116924827326,1.2412251312067046,1.0,DRILL-20260628-0004/annotated_frames/rank_04_frame_000057.jpg
5,DRILL-20260628-0004.mp4,86,2866,78.48328582193545,1.5195182844444897,1.0,DRILL-20260628-0004/annotated_frames/rank_05_frame_000086.jpg
6,DRILL-20260628-0004.mp4,120,4000,91.86671673755502,1.6997273940034205,1.0,DRILL-20260628-0004/annotated_frames/rank_06_frame_000120.jpg
