rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,64,2133,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0004/posture_annotated_frames/posture_rank_01_frame_000064.jpg
2,92,3066,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,5.0,DRILL-20260628-0004/posture_annotated_frames/posture_rank_02_frame_000092.jpg
3,113,3766,nan,nan,nan,0.0,133.9770125830224,0.0,2.3669633880369383,31.94130420927147,0.0,10.0,5.0,0.8077247900585328,0.0,1.25,5.0,DRILL-20260628-0004/posture_annotated_frames/posture_rank_03_frame_000113.jpg
4,57,1900,nan,nan,nan,0.0,146.0512862803779,0.0,1.2882036047939636,28.28852379555552,0.0,10.0,5.0,1.6124952237594463,0.0,1.25,5.0,DRILL-20260628-0004/posture_annotated_frames/posture_rank_04_frame_000057.jpg
5,86,2866,nan,nan,nan,0.0,156.01951044979506,0.0,2.5058337147776277,22.418111139876917,0.0,6.181759283230763,3.0908796416153814,1.2086593477825047,0.0,0.7727199104038454,5.0,DRILL-20260628-0004/posture_annotated_frames/posture_rank_05_frame_000086.jpg
