rank,frame_index,timestamp_ms,finger_mid_perp_width_ratio,finger_mcp_perp_width_ratio,finger_width_diff_ratio,fingers_joined_score,elbow_angle_deg,elbow_angle_score,heel_distance_ratio,heel_angle_deg,heel_touch_score,heel_angle_score,heels_score,left_hand_body_distance_ratio,left_hand_attached_score,weighted_score,difficulty,output_image_path
1,67,4466,0.4128581802026147,0.5242733587500008,0.11141517854738604,5.47693452514522,52.52604467191599,6.228296106736675,0.3999505713651544,8.104413038357322,7.085392859785234,0.0,3.542696429892617,0.35114099902935736,6.381000024888273,5.407231771665696,5.0,DRILL-20260628-0006/posture_annotated_frames/posture_rank_01_frame_000067.jpg
2,39,2600,0.6854694603587134,0.6538871342335628,0.031582326125150564,9.91209299304719,54.542443380336174,4.547963849719855,0.9636745869455255,2.348163902908732,0.0,0.0,0.0,0.27365657609181787,8.3677801002098,5.706959235744211,5.0,DRILL-20260628-0006/posture_annotated_frames/posture_rank_02_frame_000039.jpg
3,161,10733,0.6440954917883326,0.6110594334177241,0.03303605837060855,9.831330090521748,53.25679984884985,5.619333459291791,1.166364116571882,10.300415179304162,0.0,0.0,0.0,0.2745941134015184,8.34374068201235,5.948601057956472,5.0,DRILL-20260628-0006/posture_annotated_frames/posture_rank_03_frame_000161.jpg
4,76,5066,nan,nan,nan,0.0,3.009511436814105,0.0,1.324092159606046,11.835434209603383,0.0,0.0,0.0,0.312218929987667,7.379001795188026,1.8447504487970066,5.0,DRILL-20260628-0006/posture_annotated_frames/posture_rank_04_frame_000076.jpg
5,190,12666,0.528917124684271,0.5120798277774818,0.016837296906789218,10.0,53.321323162678745,5.565564031101047,1.0725537456694756,11.656014678612433,0.0,0.0,0.0,0.31958607306192693,7.190100690719823,5.688916180455218,5.0,DRILL-20260628-0006/posture_annotated_frames/posture_rank_05_frame_000190.jpg
